,0,1,2,3,4,5,6,7,8,9,10,11,12,13,total
0,0.0,10.66,11.365,56.0,1.0,1.0,1.0,26.0027,0.0,1.0,3.0,2011.0,3.0,12.0,15.0
1,0.0,10.66,13.635,56.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2011.0,0.0,4.0,4.0
2,0.0,10.66,13.635,56.0,1.0,1.0,1.0,0.0,2.0,1.0,3.0,2011.0,1.0,1.0,2.0
3,0.0,10.66,12.88,56.0,1.0,1.0,1.0,11.0014,3.0,1.0,3.0,2011.0,0.0,4.0,4.0
4,0.0,10.66,12.88,56.0,1.0,1.0,1.0,11.0014,4.0,1.0,3.0,2011.0,0.0,4.0,4.0
5,0.0,9.84,11.365,60.0,1.0,1.0,1.0,15.0013,5.0,1.0,3.0,2011.0,0.0,5.0,5.0
6,0.0,9.02,10.605,60.0,1.0,1.0,1.0,15.0013,6.0,1.0,3.0,2011.0,1.0,33.0,34.0
7,0.0,9.02,10.605,55.0,1.0,1.0,1.0,15.0013,7.0,1.0,3.0,2011.0,1.0,76.0,77.0
8,0.0,9.02,10.605,55.0,1.0,1.0,1.0,19.0012,8.0,1.0,3.0,2011.0,6.0,247.0,253.0
9,0.0,9.84,11.365,52.0,1.0,2.0,1.0,15.0013,9.0,1.0,3.0,2011.0,2.0,137.0,139.0
10,0.0,10.66,11.365,48.0,1.0,1.0,1.0,19.9995,10.0,1.0,3.0,2011.0,9.0,71.0,80.0
11,0.0,11.48,13.635,45.0,1.0,2.0,1.0,11.0014,11.0,1.0,3.0,2011.0,21.0,70.0,91.0
12,0.0,12.3,16.665,42.0,1.0,2.0,1.0,0.0,12.0,1.0,3.0,2011.0,21.0,65.0,86.0
13,0.0,11.48,14.395,45.0,1.0,2.0,1.0,7.0015,13.0,1.0,3.0,2011.0,21.0,78.0,99.0
14,0.0,12.3,15.15,45.0,1.0,2.0,1.0,8.9981,14.0,1.0,3.0,2011.0,21.0,59.0,80.0
15,0.0,13.12,15.91,45.0,1.0,2.0,1.0,12.998,15.0,1.0,3.0,2011.0,19.0,64.0,83.0
16,0.0,12.3,15.15,49.0,1.0,2.0,1.0,8.9981,16.0,1.0,3.0,2011.0,21.0,58.0,79.0
17,0.0,12.3,15.91,49.0,1.0,2.0,1.0,7.0015,17.0,1.0,3.0,2011.0,21.0,185.0,206.0
18,0.0,10.66,12.88,56.0,1.0,2.0,1.0,12.998,18.0,1.0,3.0,2011.0,16.0,165.0,181.0
19,0.0,10.66,11.365,56.0,1.0,1.0,1.0,22.0028,19.0,1.0,3.0,2011.0,5.0,98.0,103.0
20,0.0,10.66,12.12,60.0,1.0,2.0,1.0,19.0012,20.0,1.0,3.0,2011.0,7.0,69.0,76.0
21,0.0,9.84,11.365,60.0,1.0,2.0,1.0,16.9979,21.0,1.0,3.0,2011.0,0.0,48.0,48.0
22,0.0,9.84,10.605,65.0,1.0,2.0,1.0,19.0012,22.0,1.0,3.0,2011.0,1.0,51.0,52.0
23,0.0,9.84,10.605,65.0,1.0,2.0,1.0,22.0028,23.0,1.0,3.0,2011.0,1.0,19.0,20.0
24,0.0,9.84,11.365,70.0,1.0,2.0,1.0,16.9979,0.0,1.0,4.0,2011.0,4.0,13.0,17.0
25,0.0,9.84,11.365,70.0,1.0,2.0,1.0,16.9979,1.0,1.0,4.0,2011.0,2.0,12.0,14.0
26,0.0,9.84,12.12,75.0,1.0,3.0,1.0,11.0014,2.0,1.0,4.0,2011.0,2.0,1.0,3.0
27,0.0,9.02,10.605,80.0,1.0,3.0,1.0,19.9995,3.0,1.0,4.0,2011.0,1.0,1.0,2.0
28,0.0,9.02,12.88,87.0,1.0,2.0,1.0,6.0032,4.0,1.0,4.0,2011.0,1.0,1.0,2.0
